y,y_err,x,x_err
0.000217213,1.7121E-06,0.534,0.0193
0.000280037,1.52649E-05,0.636,0.0233
0.000341538,2.14157E-05,0.785,0.0295
0.000446278,7.34873E-06,1.030,0.0406
0.000167558,8.9323E-06,0.428,0.0158
0.000061,5.78792E-06,0.161,0.0078
0.000133794,1.00254E-05,0.322,0.0124
0.000120516,8.87443E-06,0.268,0.0107
9.48685E-05,8.45586E-06,0.215,0.0092
0.00005,5.97614E-06,0.108,0.0065
3.08333E-05,6.59335E-06,0.054,0.0057
0.000724768,1.96067E-05,1.760,0.0666
0.000871741,2.59284E-05,2.097,0.0804
0.001421683,1.42972E-05,3.404,0.1396
0.008254475,4.80915E-05,20.065,0.7091
0.003001761,7.49645E-05,5.416,0.5762
0.001547256,4.08349E-05,2.585,0.5366
0.000632938,1.01432E-05,1.007,0.5116
0.05148575,0.000283704,160.52,6.53
0.0215858,3.25752E-05,47.50,4.04
0.011601,6.21986E-05,16.91,3.59
0.046204,7.5999E-05,119.82,2.08
0.04,0.000137347,86.81,1.09